"web_name","id","ques","web"
"Google Flights","Google Flights--16","Find the cheapest one-way flight from New York to Tokyo departing on February 15, 2025, and provide the airline and total flight duration.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--17","Find the cheapest round-trip flight from New York to Paris leaving on Jan 27, 2025, and returning on Feb 10, 2025.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--18","Compare flight options from New York to Tokyo for a round trip leaving on February 25, 2025, and returning on March 15, 2025, for one adult. Prioritize the comparisons by the shortest travel time.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--19","Find the cheapest one-way flight from London to Paris, departing on February 25, 2025. Include the airline, total travel time, and layovers for the chosen flight.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--20","Book a round-trip flight from San Francisco to Berlin, departing on April 5, 2025, and returning on April 12, 2025, and find the option with the shortest total travel time.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--21","Locate the lowest-priced one-way flight from Tokyo to Sydney for an adult, departing on March 25, 2025, and include the flight duration and number of layovers.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--22","Find a round-trip flight from Rio de Janeiro to Los Angeles, leaving on April 15, 2025, and returning on April 22, 2025, and select the option with the least carbon dioxide emissions.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--23","Search for a one-way flight from Mumbai to Vancouver on March 28, 2025, filtering the results to show only 1-stop flights.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--24","Compare prices for economy class round-trip flights from Dubai to Rome, departing on April 1, 2025, and returning on April 8, 2025, and select the option with the fewest stops.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--25","Find a one-way business class flight from Buenos Aires to Amsterdam on April 10, 2025, and provide the details of the flight with the shortest duration.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--26","Search for the cheapest round-trip flights from Bangkok to Madrid, leaving on March 26, 2025, and returning on March 28, 2025, and provide options under $1000.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--27","Locate a one-way flight from Johannesburg to Toronto on April 30, 2025, for one adult, and analyze the price trends for the following month.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--28","Find the best-priced round-trip flight from Seattle to Paris, departing on March 27, 2025, and returning on April 1, 2025, with a maximum of one stop.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--29","Compare the prices and total travel time of non-stop flights from Mexico City to Frankfurt, departing on April 5, 2025, and returning on April 15, 2025.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--30","Find the most affordable one-way flight from Cape Town to Singapore, departing on April 20, 2025, and include the airline and total number of layovers.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--31","Find a one-way economy flight from Auckland to Honolulu on April 25, 2025, browse the full page and display a flight option with the most stops.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--32","Search for round-trip flights from Stockholm to Toronto, departing on April 3, 2025, and returning on April 10, 2025, and sort the results to find the shortest total travel time.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--33","Find a one-way flight from Shanghai to Vancouver on March 27, 2025, and compare the options based on carbon dioxide emissions.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--34","Compare business class flight options from Lisbon to Singapore for a one-way trip on April 15, 2025, select one of the flights and see which websites offer its booking options. Which one is the cheapest.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--35","Find the lowest-priced one-way flight from Cairo to Montreal on March 21, 2025, including the total travel time and number of stops.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--36","Search for round-trip flights from Helsinki to New Delhi, departing on April 28, 2025, and returning on May 4, 2025, and filter the results to show only flights under $1000.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--37","Locate a round-trip flight from Buenos Aires to Beijing, leaving on March 28, 2025, and returning on April 3, 2025, check out one of the options and tell me if the airline for my return flight is the same as my departure flight.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--38","Compare the prices and flight durations for economy class flights from Oslo to Dubai, departing on April 8, 2025, and show the options with no more than two layovers.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--39","Find a one-way flight from Prague to a city in Japan on April 20, 2025, which city in Japan is cheaper to go to, Tokyo or a certain city in Hokkaido?","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--40","Browse destinations on the Google Flights homepage from Seattle, look at destinations on a map, and recommend some famous places to travel that are within a reasonable distance and price.","https://www.google.com/travel/flights/"
"Google Flights","Google Flights--41","Choose one way business class ticket from Hong Kong to Glacier National Park on 8 April 2025, offering a 1 stop ticket.","https://www.google.com/travel/flights/"
